"2017-05-18 12:29:08,713",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Tot. fit time,Training sets,Testing sets,Distractor period,Point (success),1 fully correct seq.,1 mispredicted time steps,2 fully correct seq.,2 mispredicted time steps,3 fully correct seq.,3 mispredicted time steps,4 fully correct seq.,4 mispredicted time steps,5 fully correct seq.,5 mispredicted time steps
"2017-05-18 12:30:14,738","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.29,32,32,200,0,6,49,16,21,19,14,25,7,28,4
"2017-05-18 12:31:21,026","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.64,32,32,200,0,1,71,9,32,14,20,18,16,25,7
"2017-05-18 12:32:27,194","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.58,32,32,200,0,2,64,12,28,22,13,25,9,28,5
"2017-05-18 12:33:32,863","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.11,32,32,200,0,3,58,13,27,24,12,24,11,29,3
"2017-05-18 12:34:38,814","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.63,32,32,200,0,9,48,20,18,25,11,26,8,28,5
"2017-05-18 12:35:44,831","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.48,32,32,200,0,5,48,18,20,19,16,22,11,25,7
"2017-05-18 12:36:51,503","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.55,32,32,200,0,4,67,11,35,14,23,21,12,23,9
"2017-05-18 12:37:57,198","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.39,32,32,200,0,2,67,12,33,17,19,20,14,23,11
"2017-05-18 12:39:03,263","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.57,32,32,200,0,3,66,17,24,22,10,27,6,26,7
"2017-05-18 12:40:09,448","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.62,32,32,200,0,4,57,19,19,23,10,28,4,30,2
"2017-05-18 12:41:15,941","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,38.05,32,32,200,0,7,47,18,20,23,14,26,12,27,8
"2017-05-18 12:42:22,046","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.87,32,32,200,0,1,58,19,16,23,9,22,10,29,3
"2017-05-18 12:43:28,361","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.99,32,32,200,0,5,42,24,11,24,10,26,7,29,3
"2017-05-18 12:44:34,524","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.69,32,32,200,0,2,65,14,23,18,15,20,13,21,12
"2017-05-18 12:45:40,330","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.45,32,32,200,0,8,47,21,11,26,6,27,5,31,1
"2017-05-18 12:46:46,615","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.66,32,32,200,0,6,44,14,27,15,20,20,15,24,8
"2017-05-18 12:47:52,546","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.61,32,32,200,0,3,58,13,28,21,17,26,11,26,10
"2017-05-18 12:48:58,896","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.38,32,32,200,0,7,44,17,16,29,4,29,3,30,2
"2017-05-18 12:50:04,670","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.29,32,32,200,0,2,67,18,21,21,12,21,12,26,6
"2017-05-18 12:51:10,689","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.76,32,32,200,0,4,52,16,22,23,12,27,5,26,7
"2017-05-18 12:52:16,918","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.68,32,32,200,0,7,56,16,21,21,14,23,9,26,7
"2017-05-18 12:53:22,794","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.48,32,32,200,0,3,63,14,24,18,15,26,6,26,7
"2017-05-18 12:54:28,753","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.44,32,32,200,0,3,64,13,24,18,17,24,9,25,8
"2017-05-18 12:55:34,487","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.22,32,32,200,0,4,51,17,22,24,10,22,12,25,8
"2017-05-18 12:56:39,514","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,37.08,32,32,200,0,2,58,19,18,24,10,26,7,27,6
"2017-05-18 12:38:57,251","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,46.70,32,32,200,0,6,48,19,15,23,9,27,5,29,3
"2017-05-18 12:40:19,016","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,46.68,32,32,200,0,0,66,9,30,21,13,24,10,28,4
"2017-05-18 12:41:45,810","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.06,32,32,200,0,7,46,17,17,24,8,29,3,29,3
"2017-05-18 12:43:10,666","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.70,32,32,200,0,3,52,12,27,22,10,23,12,24,9
"2017-05-18 12:44:35,653","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.30,32,32,200,0,5,54,11,28,16,21,25,8,27,5
"2017-05-18 12:46:03,730","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.73,32,32,200,0,2,62,19,16,21,11,23,9,28,4
"2017-05-18 12:47:30,414","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,50.80,32,32,200,0,2,60,17,19,21,15,22,14,25,10
"2017-05-18 12:48:58,052","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.05,32,32,200,0,1,66,13,24,22,11,24,8,26,6
"2017-05-18 12:50:19,208","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,45.08,32,32,200,0,2,66,9,37,13,27,18,22,21,13
"2017-05-18 12:51:44,841","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.47,32,32,200,0,2,60,14,22,22,12,28,4,28,4
"2017-05-18 12:53:08,129","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.15,32,32,200,0,3,45,13,22,21,13,26,6,23,9
"2017-05-18 12:54:35,833","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,53.09,32,32,200,0,3,68,13,28,21,11,25,7,25,7
"2017-05-18 12:55:59,287","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.34,32,32,200,0,1,60,9,30,22,12,26,7,27,6
"2017-05-18 12:57:22,297","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.55,32,32,200,0,1,63,10,36,17,21,24,11,24,10
"2017-05-18 12:58:47,520","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.94,32,32,200,0,3,58,14,24,24,8,26,6,27,5
"2017-05-18 13:00:11,370","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.44,32,32,200,0,4,54,19,16,21,15,24,9,26,6
"2017-05-18 13:01:33,893","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.14,32,32,200,0,7,48,14,19,25,8,28,5,26,6
"2017-05-18 13:02:56,957","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.08,32,32,200,0,7,46,15,21,19,15,25,8,28,5
"2017-05-18 13:04:20,613","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.22,32,32,200,0,5,49,15,23,19,18,21,14,28,5
"2017-05-18 13:05:46,835","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.44,32,32,200,0,1,59,18,17,26,7,29,3,25,7
"2017-05-18 13:07:12,735","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.18,32,32,200,0,7,48,13,23,15,21,17,18,20,14
"2017-05-18 13:08:35,802","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.28,32,32,200,0,6,49,17,16,27,5,31,1,29,3
"2017-05-18 13:10:00,296","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.96,32,32,200,0,6,51,17,22,22,13,24,10,21,13
"2017-05-18 13:11:26,207","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,50.86,32,32,200,0,2,55,13,24,22,11,27,5,28,4
"2017-05-18 13:12:53,626","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.39,32,32,200,0,4,64,18,22,23,11,24,9,23,9
"2017-05-18 12:38:00,491","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,45.29,32,32,200,0,4,59,17,21,27,6,23,10,26,6
"2017-05-18 12:39:25,122","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.33,32,32,200,0,2,54,16,21,18,14,23,11,27,5
"2017-05-18 12:40:47,087","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.44,32,32,200,0,1,67,15,27,22,13,25,7,29,3
"2017-05-18 12:42:17,172","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,54.74,32,32,200,0,4,49,17,17,22,12,26,6,26,7
"2017-05-18 12:43:42,990","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.29,32,32,200,0,1,54,14,26,24,11,23,11,22,14
"2017-05-18 12:45:10,124","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.40,32,32,200,0,9,42,18,18,20,15,23,10,20,15
"2017-05-18 12:46:33,154","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.43,32,32,200,0,0,51,12,25,19,17,24,8,26,6
"2017-05-18 12:47:57,900","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.15,32,32,200,0,4,48,17,20,21,12,24,9,29,4
"2017-05-18 12:49:19,874","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.09,32,32,200,0,8,43,24,13,26,6,27,5,28,4
"2017-05-18 12:50:45,494","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,50.81,32,32,200,0,2,68,21,15,26,7,25,8,24,9
"2017-05-18 12:52:09,813","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.42,32,32,200,0,5,49,16,20,21,13,27,5,26,8
"2017-05-18 12:53:40,712","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,55.84,32,32,200,0,1,73,15,23,15,27,18,16,25,10
"2017-05-18 12:55:03,820","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.62,32,32,200,0,2,56,16,18,24,8,23,9,29,3
"2017-05-18 12:56:36,240","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,57.65,32,32,200,0,3,61,13,26,23,10,27,6,29,3
"2017-05-18 12:58:04,095","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.73,32,32,200,0,6,51,16,22,22,13,27,7,29,3
"2017-05-18 12:59:31,156","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.08,32,32,200,0,7,44,22,13,23,10,27,5,25,8
"2017-05-18 13:01:00,987","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,54.42,32,32,200,0,3,55,12,23,22,10,25,8,30,2
"2017-05-18 13:02:29,939","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,53.05,32,32,200,0,9,43,19,18,21,13,23,11,26,6
"2017-05-18 13:03:55,648","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,50.72,32,32,200,0,0,71,11,34,20,17,20,17,23,12
"2017-05-18 13:05:23,402","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,53.65,32,32,200,0,3,47,21,14,24,10,23,11,26,6
"2017-05-18 13:06:53,631","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,54.52,32,32,200,0,5,53,17,20,21,14,21,13,28,5
"2017-05-18 13:08:23,367","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,54.78,32,32,200,0,7,42,23,14,28,6,28,5,30,2
"2017-05-18 13:09:50,736","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.72,32,32,200,0,5,57,17,21,22,11,28,4,29,4
"2017-05-18 13:11:16,766","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.58,32,32,200,0,1,63,14,26,23,11,26,6,30,3
"2017-05-18 13:12:45,193","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.43,32,32,200,0,6,48,15,22,23,10,22,10,23,10
"2017-05-18 12:38:58,607","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,54.10,32,32,200,0,4,49,15,22,15,20,23,13,26,8
"2017-05-18 12:40:29,557","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,55.50,32,32,200,0,2,59,14,27,20,17,23,12,24,10
"2017-05-18 12:42:01,891","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,56.73,32,32,200,0,6,52,12,28,21,12,24,9,28,5
"2017-05-18 12:43:26,087","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.18,32,32,200,0,1,65,12,30,16,21,21,13,26,7
"2017-05-18 12:44:53,574","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.63,32,32,200,0,4,54,11,29,18,15,16,18,27,5
"2017-05-18 12:46:22,424","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,53.17,32,32,200,0,4,61,15,23,24,10,28,4,30,3
"2017-05-18 12:47:50,699","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.90,32,32,200,0,6,48,18,20,22,12,25,8,26,7
"2017-05-18 12:49:15,121","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.80,32,32,200,0,1,60,14,25,21,13,26,6,26,6
"2017-05-18 12:50:41,635","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.88,32,32,200,0,4,56,22,10,28,4,30,3,27,5
"2017-05-18 12:52:07,785","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,50.17,32,32,200,0,5,50,21,13,23,10,25,7,29,3
"2017-05-18 12:53:31,326","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.13,32,32,200,0,4,55,18,20,23,11,27,6,26,7
"2017-05-18 12:54:56,692","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.88,32,32,200,0,0,64,15,26,18,18,22,12,27,6
"2017-05-18 12:56:19,100","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.83,32,32,200,0,6,56,16,21,23,10,26,7,31,2
"2017-05-18 12:57:46,410","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.14,32,32,200,0,6,55,22,15,24,12,26,8,28,5
"2017-05-18 12:59:09,486","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.50,32,32,200,0,4,53,14,24,21,15,24,9,25,9
"2017-05-18 13:00:31,030","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,46.73,32,32,200,0,7,52,19,20,22,14,25,11,29,6
"2017-05-18 13:01:53,989","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.35,32,32,200,0,5,44,19,14,25,8,31,1,29,3
"2017-05-18 13:03:16,169","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.79,32,32,200,0,3,59,23,10,26,6,29,3,29,3
"2017-05-18 13:04:38,733","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,47.80,32,32,200,0,4,57,17,15,23,9,26,7,29,3
"2017-05-18 13:06:04,669","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.67,32,32,200,0,5,51,13,25,19,16,27,5,27,6
"2017-05-18 13:07:27,415","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,48.51,32,32,200,0,2,62,15,22,19,13,22,12,23,11
"2017-05-18 13:08:51,584","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,49.37,32,32,200,0,0,69,17,18,21,14,23,10,25,9
"2017-05-18 13:10:16,820","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,50.22,32,32,200,0,5,62,16,20,24,9,27,5,27,5
"2017-05-18 13:11:42,345","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,51.30,32,32,200,0,5,53,15,24,25,10,26,9,26,9
"2017-05-18 13:13:08,912","30,30,30,30,30","30,30,30,30,30","195,62,62,62,62",4,0,0,True,LinearRegression,52.20,32,32,200,0,4,59,11,30,21,17,22,13,25,9
